source	pages	embedded_lines	ocr_lines	full_text_lines	rendered_pages	ocr_pages
Assignments/assignment1.pdf	1	42	66	125	1	1
Assignments/assignment2.pdf	1	28	38	88	1	1
Assignments/assignment3.pdf	2	88	115	234	2	2
Assignments/assignment4.pdf	2	69	84	187	2	2
Assignments/assignment5.pdf	1	44	54	125	1	1
Assignments/assignment6.pdf	5	44	62	144	5	5
Assignments/assignment7.pdf	4	36	46	122	4	4
Assignments/assignment8.pdf	5	56	88	191	5	5
Assignments/assignment9.pdf	5	48	62	149	5	5
Exam-2/exam2-cover.pdf	1	35	50	106	1	1
Exam-3/exam3_cover_CS4134_Spring2026_25March2026-1.pdf	1	29	52	107	1	1
Exam-4/exam4-cover.pdf	1	46	44	121	1	1
Exam-5/exam5_cover_CS4134_Spring2026_1May2026.pdf	1	39	42	114	1	1
Lectures/entanglement(II).pdf	12	213	574	949	12	12
Lectures/entanglement(III).pdf	10	199	459	781	10	10
Lectures/linear-algebra(II).pdf	9	168	324	592	9	9
Lectures/linear-algebra(III)+quantum-gates.pdf	9	202	374	692	9	9
Lectures/linear-algebra.pdf	8	147	316	549	8	8
Lectures/measurements(II).pdf	10	219	394	716	10	10
Lectures/measurements(III)+entanglement.pdf	12	217	488	823	12	12
Lectures/quantum-algorithms(I).pdf	5	0	221	233	5	5
Lectures/quantum-algorithms(II).pdf	7	0	325	337	7	7
Lectures/quantum-algorithms(III).pdf	9	785	317	1265	9	9
Lectures/quantum-gates(II)+measurements.pdf	10	225	391	759	10	10
Lectures/quantum-gates.pdf	10	220	532	853	10	10
Lectures/superdense-coding.pdf	10	194	362	678	10	10
Lectures/teleportation.pdf	8	98	309	477	8	8
Lectures/universal-gate-sets-noise-in-quantum-computing.pdf	8	567	372	1042	8	8
Past-Exams/Test1.pdf	6	0	117	129	6	6
Past-Exams/Test2.pdf	8	0	264	276	8	8
Past-Exams/Test3.pdf	6	0	95	107	6	6
Past-Exams/Test4.pdf	6	0	94	106	6	6
problem_bank.pdf	22	913	1064	2204	22	22
